,Pos,Artist,Total Streams,streams
0,1,Drake,"18,980,642,435",18980642435
1,2,Post Malone,"13,930,714,270",13930714270
2,3,Ed Sheeran,"13,788,170,744",13788170744
3,4,J Balvin,"12,446,511,566",12446511566
4,5,Justin Bieber,"11,417,530,356",11417530356
5,6,Ozuna,"10,873,542,762",10873542762
6,7,Bad Bunny,"10,643,600,405",10643600405
7,8,Khalid,"8,970,263,768",8970263768
8,9,Ariana Grande,"8,903,180,773",8903180773
9,10,Daddy Yankee,"7,927,368,728",7927368728
10,11,The Weeknd,"7,437,699,907",7437699907
11,12,XXXTENTACION,"7,255,252,920",7255252920
12,13,Travis Scott,"7,160,415,125",7160415125
13,14,The Chainsmokers,"7,002,797,173",7002797173
14,15,Billie Eilish,"6,689,581,066",6689581066
15,16,Nicky Jam,"6,007,169,810",6007169810
16,17,Maluma,"6,002,509,031",6002509031
17,18,Anuel Aa,"5,963,604,857",5963604857
18,19,Selena Gomez,"5,853,078,635",5853078635
19,20,Camila Cabello,"5,765,641,157",5765641157
20,21,Calvin Harris,"5,677,384,459",5677384459
21,22,Cardi B,"5,675,434,793",5675434793
22,23,Halsey,"5,463,637,426",5463637426
23,24,Shawn Mendes,"5,385,457,394",5385457394
24,25,Imagine Dragons,"5,373,940,657",5373940657
25,26,Nicki Minaj,"5,347,224,198",5347224198
26,27,Dua Lipa,"5,234,761,117",5234761117
27,28,Kendrick Lamar,"5,039,959,231",5039959231
28,29,Sam Smith,"4,867,390,790",4867390790
29,30,Future,"4,582,404,324",4582404324
30,31,Juice WRLD,"4,563,705,449",4563705449
31,32,Rihanna,"4,550,583,622",4550583622
32,33,Maroon 5,"4,465,675,224",4465675224
33,34,Farruko,"4,395,833,133",4395833133
34,35,Lil Uzi Vert,"4,198,560,029",4198560029
35,36,21 Savage,"4,093,162,582",4093162582
36,37,Kygo,"4,069,588,867",4069588867
37,38,DJ Snake,"4,030,678,987",4030678987
38,39,Marshmello,"4,009,447,295",4009447295
39,40,Quavo,"3,957,204,506",3957204506
40,41,Sia,"3,931,587,599",3931587599
41,42,David Guetta,"3,792,986,234",3792986234
42,43,Bebe Rexha,"3,749,541,014",3749541014
43,44,Young Thug,"3,695,695,077",3695695077
44,45,Ty Dolla $ign,"3,654,355,677",3654355677
45,46,Swae Lee,"3,520,941,724",3520941724
46,47,Major Lazer,"3,389,831,417",3389831417
47,48,Eminem,"3,324,062,956",3324062956
48,49,Bruno Mars,"3,296,350,390",3296350390
49,50,Migos,"3,267,968,418",3267968418
50,51,Sech,"3,256,148,983",3256148983
51,52,Avicii,"3,253,395,706",3253395706
52,53,Coldplay,"3,250,834,489",3250834489
53,54,Sebastian Yatra,"3,035,542,761",3035542761
54,55,Manuel Turizo,"2,987,755,689",2987755689
