,graph_artists,playlist_artists,graph_ID,graph_pop,playlist_ID,playlist_pop
0,the beatles,stevie wonder,3WrFJ7ztbogyGnTHbHJFl2,89,7guDJrEfX3qb6FEbdPA5qi,79
1,the beach boys,the beatles,3oDbviiivRWhXwIE8hxkVV,75,3WrFJ7ztbogyGnTHbHJFl2,89
2,the nashville a-team,marvin gaye,0,0,3koiLjNrgRTNbOwViDipeA,76
3,jamiroquai,elton john,6J7biCazzYhU3gM9j1wfid,69,3PhoLpVuITZKcymswpck5b,84
4,coldplay,the rolling stones,4gzpq5DPGxSnKTe4SA8HAU,88,22bE4uQ6baNwSHPVcDxLCe,82
5,wings,freddie mercury,3sFhA6G1N0gG1pszb6kk1m,67,4M1FpEWs2PeYfJe7xxJfhH,63
6,elton john,blondie,3PhoLpVuITZKcymswpck5b,84,4tpUmLEVLCGFr93o8hFFIB,70
7,rod stewart,abba,2y8Jo9CKhJvtfeKOsYzRdT,75,0LcJLqbBmaGUft1e9Mm8HV,80
8,muse,amy macdonald,12Chz98pHFMPJEknJQMWvI,79,1hJuGCUpefX24GFmss9bjH,61
9,the rolling stones,the killers,22bE4uQ6baNwSHPVcDxLCe,82,0C0XlULifJtAgn6ZNCW2eu,80
10,a‐ha,onerepublic,2jzc5TC5TVFLXQlBNiIUzE,73,5Pwc4xIPtQLFEnJriah9YJ,84
11,the band,mary j. blige,4vpDg7Y7fU982Ds30zawDA,67,1XkoF8ryArs86LZvFOkbyr,72
12,savage garden,amy winehouse,3NRFinRTEqUCfaTTZmk8ek,67,6Q192DXotxtaysaqNPy5yR,77
13,radiohead,chic,4Z8W4fKeB5YxbusRsdQVPb,80,0Xf8oDAJYd2D0k3NLI19OV,64
14,oasis,queen,2DaxqgrOhkeH0fpeiQq2f4,80,1dfeR4HaWDbWqFHLkxsg1d,89
15,bryan adams,lionel richie,3Z02hBLubJxuFJfhacLSDc,77,3gMaNLQm7D9MornNILzdSl,73
16,train,u2,3FUY2gzHeIiaesXtOAdB7A,76,51Blml2LZPmy7TTiAg47vQ,81
17,n*e*r*d,the beach boys,5wPoxI5si3eJsYYwyXV4Wi,63,3oDbviiivRWhXwIE8hxkVV,75
18,no doubt,simon & garfunkel,0cQbJU1aAzvbEmTuljWLlF,69,70cRZdQywnSFp9pnc2WTCE,76
19,motörhead,vanessa carlton,1DFr97A9HnbV3SKTJFu62M,69,5ILrArfIV0tMURcHJN8Q07,67
20,limp bizkit,the who,165ZgPlLkK7bf5bDoFc6Sb,73,67ea9eGLXYMsO2eYQRui3w,73
21,u2,various artists,51Blml2LZPmy7TTiAg47vQ,81,0,0
22,ash,madonna,6P5NO5hzJbuOqSdyPB7SJM,77,6tbjWDEIzxoDsBA1FuhfPW,79
23,38 special,whitney houston,3zXw2Eh96iTT51pytzHdZi,60,6XpaIBNiVzIetEPCWDvAFP,80
24,take that,spice girls,1XgFuvRd7r5g0h844A5ZUQ,68,0uq5PttqEjj3IH1bzwcrXF,71
25,lynyrd skynyrd,abel,4MVyzYMgTwdP7Z49wAZHx0,75,2T2i2Hx29XyITkYbMm5u39,24
26,all star tribute,beastie boys,6imgPvjUxWkB5xtymEArjJ,15,03r4iKL2g2442PT9n2UKsx,71
27,the killers,oasis,0C0XlULifJtAgn6ZNCW2eu,80,2DaxqgrOhkeH0fpeiQq2f4,80
28,sam brown,iggy pop,3gvT4Mc7kn54IUy08Y0Tr5,45,33EUXrFKGjpUSGacqEHhU4,67
29,the cult,david bowie,49DW3KvkyjHO35mK1JnSyS,61,0oSGxfWSnnOXhD2fKuz2Gy,81
30,the the,golden earring,7cKtqv9cYVlOwnuCFH95ce,56,1iTlOqIrZy8DlvCPJY2sjS,59
31,the waterboys,hans de booij,5TnuP42pw475UrjjeabtwZ,59,7cdRThov7spzODFHbygauO,39
32,thin lizzy,alicia keys,6biWAmrHyiMkX49LkycGqQ,66,3DiDSECUqqY1AuBP8qtaIa,82
33,carly simon,rihanna,4FtSnMlCVxCswABUmdhwpm,66,5pKCCKE2ajJHZ9KAiaK11H,90
34,band aid 20,diana ross,71UcB6UtI3juKDx2wsOaqn,18,3MdG05syQeRYPPcClLaUGl,70
35,ultravox,ilse delange,3iUjRVvYCsMfz7tuAQtBDI,56,3FTKP1k9VbOng3m1rgnsqx,58
36,the eleventh hour,guus meeuwis,3HE6k3UosrQNV1m48ALVMu,6,72qVrKXRp9GeFQOesj0Pmv,64
37,tom jones,marco borsato,1T0wRBO0CK0vK8ouUMqEl5,65,3D2GUXbtlL3r2d5HJEnsFD,68
38,marc anthony,nirvana,4wLXwxDeWQ8mtUIRPxGiD6,79,6olE6TJLqED3rqDCT0FyPh,81
39,grand funk railroad,robbie williams,0qEcf3SFlpRcb3lK3f2GZI,57,2HcwFjNelS49kFbfvMxQYw,74
